Title,Categories,Country,Year,Length,Premiere,Date 1,Cinema 1,Time 1,Date 2,Cinema 2,Time 2,Date 3,Cinema 3,Time 3
4 Tigers,Asian Competition,TH,2025,137',Swiss Premiere,08.07,Passage 1,16:30,11.07,Arcades,18:45,,,
A Conversation with Samantha Shannon,Conference,,,60',,09.07,Passage 2,17:30,,,,,,
A Prayer for the Dying,Third Kind,NO/SE/UK/GR,2026,95',Swiss Premiere,05.07,Arcades,14:15,10.07,Studio,19:30,,,
After Blue (Paradis sale),Focus Mandico,FR,2021,129',,06.07,Rex,19:15,,,,,,
After Ego,Virtual Worlds,,,360',,04.07,La Villa,13:00,,,,,,
Ahead of the game: The art of playful narrative,Conference,,,90',,07.07,Passage 2,13:30,,,,,,
Alice au pays des merveilles,Happy Birthday!,US,1951,75',,05.07,Passage 1,11:00,,,,,,
Annihilation,Laténium,US/UK,2018,115',,10.07,Rex,14:00,,,,,,
Appofeniacs,Ultra Movies,US,2025,90',Swiss Premiere,06.07,Passage 1,00:30,11.07,Studio,00:30,,,
Arts de rue : Bouboule et Quatzieux,Spectacle,,,45',,09.07,Coq-d'Inde,11:00,,,,,,
Arts de rue : Chaussette,Spectacle,,,40',,06.07,Coq-d'Inde,11:00,,,,,,
Arts de rue : Helvetia,Spectacle,,,45',,07.07,Coq-d'Inde,11:00,,,,,,
Arts de rue : Le Conte Abracadabrant,Spectacle,,,40',,08.07,Coq-d'Inde,11:00,,,,,,
Arts de rue : Réaction en chaîne,Spectacle,,,40',,10.07,Coq-d'Inde,11:00,,,,,,
Asian Shorts,Shorts Programs,,,93',,05.07,Rex,11:00,08.07,Rex,11:00,,,
At the Place of Ghosts,Third Kind,CA/BE,2025,81',Swiss Premiere,06.07,Passage 1,22:30,08.07,Studio,17:00,,,
Atelier cinéma et effets spéciaux 1,Other,,,120',,10.07,La Villa,15:00,,,,,,
Atelier cinéma et effets spéciaux 2,Other,,,120',,10.07,La Villa,17:00,,,,,,
Atelier cinéma et effets spéciaux 3,Other,,,120',,11.07,La Villa,15:00,,,,,,
Atelier cinéma et effets spéciaux 4,Other,,,120',,11.07,La Villa,17:00,,,,,,
Atelier de création fantasy 1,Other,,,180',,07.07,La Villa,10:00,,,,,,
Atelier de création fantasy 2,Other,,,180',,08.07,La Villa,10:00,,,,,,
Atelier de création fantasy 3,Other,,,180',,09.07,La Villa,10:00,,,,,,
Atelier d'écriture familles,Other,,,120',,08.07,La Villa,15:00,,,,,,
Atelier d'écriture : Utopies liquides,Other,,,120',,09.07,La Villa,17:00,,,,,,
Au carrefour de l'animation et du fantastique,Conference,,,60',,06.07,Passage 2,15:45,,,,,,
Baahubali: The Epic,Focus SS Rajamouli,IN,2025,225',,07.07,Temple du Bas,19:15,,,,,,
"Bertrand Mandico : Le fond, la forme et la fabrique",Conference,,,75',,06.07,Passage 2,17:30,,,,,,
Blades of the Guardians,Asian Competition,CN,2026,126',Swiss Premiere,03.07,Studio,16:30,08.07,Temple du Bas,21:45,,,
Blood on Snow,international competition,JP,2026,98',International Premiere,06.07,Arcades,22:15,08.07,Arcades,22:00,11.07,Studio,14:00
Bloody Birthday,Happy Birthday!,US,1981,85',,11.07,Rex,22:00,,,,,,
Breeder,international competition,US/CA,2026,97',International Premiere,05.07,Studio,16:45,08.07,Passage 1,21:45,10.07,Passage 1,19:30
"Castlevania, une saga immortelle",Conference,,,90',,06.07,Passage 2,13:30,,,,,,
Colony,Ceremonies,KR,2026,122',Swiss Premiere,11.07,Passage 1,20:00,11.07,Arcades,22:00,,,
Constellation Mandico,Focus Mandico,,,124',,05.07,Studio,19:00,,,,,,
Dead End,Third Kind,TW,2026,100',International Premiere,04.07,Studio,19:15,09.07,Passage 1,19:30,,,
Deadline,Third Kind,TW/HK/UK,2025,117',Swiss Premiere,04.07,Studio,13:45,08.07,Arcades,16:45,,,
Decorado,international competition,ES/PT,2025,95',Swiss Premiere,05.07,Passage 1,16:30,08.07,Studio,11:00,10.07,Passage 1,14:30
Die Blechtrommel,Happy Birthday!,DE/FR/PL,1979,142',,06.07,Rex,11:00,,,,,,
Donnie Darko: Ciné-concert,2001: The Void Year,US,2001,134',,07.07,Passage 1,19:30,,,,,,
Eega,Focus SS Rajamouli,IN,2012,145',Swiss Premiere,09.07,Studio,13:30,,,,,,
En eaux profondes,Conference,,,90',,09.07,Passage 2,13:30,,,,,,
Eva,"Amazing Switzerland, Beyond Heidi",ES/FR,2011,94',,08.07,Rex,14:00,,,,,,
Evil Dead Burn,Ultra Movies,NZ/US/CA,2026,110',Swiss Premiere,04.07,Passage 1,22:00,07.07,Passage 1,00:30,,,
